"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 23, 2018","511.00","511.00","511.00","511.00","-","-0.54%"
"Dec 24, 2018","516.00","511.25","518.00","511.00","-","0.98%"
"Dec 26, 2018","512.25","515.75","520.62","509.00","-","-0.73%"
"Dec 27, 2018","511.00","511.75","514.00","507.25","-","-0.24%"
"Dec 28, 2018","511.25","511.00","513.88","509.50","-","0.05%"
"Dec 31, 2018","503.00","511.50","513.12","503.00","-","-1.61%"
"Jan 02, 2019","506.50","503.12","510.62","501.38","-","0.70%"
"Jan 03, 2019","513.75","508.25","515.88","506.00","-","1.43%"
"Jan 04, 2019","516.25","514.00","518.75","513.00","-","0.49%"
"Jan 06, 2019","518.50","516.38","518.50","516.00","-","0.44%"
"Jan 07, 2019","517.00","518.75","518.75","513.50","-","-0.29%"
"Jan 08, 2019","518.00","517.00","524.50","514.38","-","0.19%"
"Jan 09, 2019","520.25","518.50","523.75","518.38","-","0.43%"
"Jan 10, 2019","513.25","519.50","520.12","512.00","-","-1.35%"
"Jan 11, 2019","519.88","513.75","523.75","513.38","-","1.29%"
"Jan 14, 2019","514.25","520.50","521.75","513.38","-","-1.08%"
"Jan 15, 2019","509.75","514.50","518.38","508.12","-","-0.88%"
"Jan 16, 2019","511.00","510.00","516.62","510.00","-","0.25%"
"Jan 17, 2019","519.50","511.25","522.38","509.12","-","1.66%"
"Jan 18, 2019","516.88","519.75","522.12","515.38","-","-0.50%"
"Jan 20, 2019","517.00","517.50","517.50","517.00","-","0.02%"
"Jan 21, 2019","517.00","517.50","520.50","515.25","-","0.00%"
"Jan 22, 2019","522.50","517.25","525.88","514.50","-","1.06%"
"Jan 23, 2019","527.00","523.12","527.00","521.88","-","0.86%"
"Jan 24, 2019","521.25","526.62","528.88","521.12","-","-1.09%"
"Jan 25, 2019","520.88","521.25","522.88","516.88","-","-0.07%"
"Jan 27, 2019","518.50","520.88","520.88","518.25","-","-0.46%"
"Jan 28, 2019","518.00","519.00","523.62","516.00","-","-0.10%"
"Jan 29, 2019","513.75","518.00","521.88","510.88","-","-0.82%"
"Jan 30, 2019","517.75","513.75","517.88","511.62","-","0.78%"
"Jan 31, 2019","516.50","517.75","520.00","513.62","-","-0.24%"
"Feb 01, 2019","524.38","516.50","526.38","515.38","-","1.53%"
"Feb 03, 2019","524.50","524.50","524.50","524.50","-","0.02%"
"Feb 04, 2019","525.25","524.50","528.88","521.50","-","0.14%"
"Feb 05, 2019","527.50","525.25","528.38","520.62","-","0.43%"
"Feb 06, 2019","524.25","526.75","531.12","524.25","-","-0.62%"
"Feb 07, 2019","512.75","524.25","525.38","512.62","-","-2.19%"
"Feb 08, 2019","517.88","512.75","522.00","512.75","-","1.00%"
"Feb 10, 2019","517.50","517.25","517.50","517.25","-","-0.07%"
"Feb 11, 2019","518.25","516.75","518.88","512.12","-","0.14%"
"Feb 12, 2019","520.00","518.25","520.62","514.62","-","0.34%"
"Feb 13, 2019","521.50","520.00","523.88","518.88","-","0.29%"
"Feb 14, 2019","507.25","521.50","522.38","506.12","-","-2.73%"
"Feb 15, 2019","503.38","507.25","508.88","499.38","-","-0.76%"
"Feb 17, 2019","503.25","503.50","503.50","502.88","-","-0.03%"
"Feb 18, 2019","503.75","503.25","503.75","503.00","-","0.10%"
"Feb 19, 2019","489.00","503.50","505.38","488.62","-","-2.93%"
"Feb 20, 2019","479.75","489.00","493.38","475.88","-","-1.89%"
"Feb 21, 2019","487.00","479.75","491.62","479.75","-","1.51%"
"Feb 22, 2019","484.88","487.00","493.00","484.62","-","-0.44%"
"Feb 25, 2019","472.25","494.62","495.12","472.25","-","-2.60%"
"Feb 26, 2019","467.75","472.25","474.38","463.88","-","-0.95%"
"Feb 27, 2019","467.00","467.75","475.38","465.38","-","-0.16%"
"Feb 28, 2019","458.75","467.00","468.62","458.12","-","-1.77%"
"Mar 01, 2019","457.12","458.75","461.38","447.25","-","-0.36%"
"Mar 04, 2019","455.50","456.62","460.88","454.38","-","-0.35%"
"Mar 05, 2019","464.00","455.50","464.00","453.12","-","1.87%"
"Mar 06, 2019","449.75","464.00","464.38","449.38","-","-3.07%"
"Mar 07, 2019","438.00","449.75","451.75","437.62","-","-2.61%"
"Mar 08, 2019","438.38","438.00","444.12","435.75","-","0.09%"
"Mar 10, 2019","440.25","440.25","440.25","440.25","-","0.43%"
"Mar 11, 2019","427.75","439.38","441.62","427.12","-","-2.84%"
"Mar 12, 2019","452.25","428.62","456.88","427.62","-","5.73%"
"Mar 13, 2019","447.50","455.38","455.38","440.38","-","-1.05%"
"Mar 14, 2019","452.25","447.88","460.62","446.88","-","1.06%"
"Mar 15, 2019","460.12","452.50","462.88","448.50","-","1.74%"
"Mar 18, 2019","457.25","463.12","463.62","454.62","-","-0.62%"
"Mar 19, 2019","456.50","458.75","462.62","454.12","-","-0.16%"
"Mar 20, 2019","464.50","456.88","464.88","455.00","-","1.75%"
"Mar 21, 2019","465.00","464.38","467.38","458.12","-","0.11%"
"Mar 22, 2019","464.88","465.00","473.62","464.00","-","-0.03%"
"Mar 24, 2019","464.50","464.50","464.50","464.50","-","-0.08%"
"Mar 25, 2019","469.00","466.62","471.62","463.12","-","0.97%"
"Mar 26, 2019","469.75","469.25","477.88","466.88","-","0.16%"
"Mar 27, 2019","469.50","470.12","471.62","466.38","-","-0.05%"
