"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 03, 2015","380.50","376.50","382.25","375.75","247.28K","1.06%"
"Nov 04, 2015","380.50","379.50","383.50","376.50","245.05K","0.00%"
"Nov 05, 2015","374.50","379.50","379.75","373.75","241.09K","-1.58%"
"Nov 06, 2015","373.00","374.75","375.25","370.00","218.10K","-0.40%"
"Nov 09, 2015","366.75","372.75","375.50","366.50","295.99K","-1.68%"
"Nov 10, 2015","359.00","367.00","367.75","356.00","428.76K","-2.11%"
"Nov 11, 2015","362.25","360.50","363.50","359.50","274.52K","0.91%"
"Nov 12, 2015","362.00","361.75","363.50","359.25","264.49K","-0.07%"
"Nov 13, 2015","358.25","361.50","362.25","358.00","165.82K","-1.04%"
"Nov 16, 2015","360.00","358.25","360.75","357.25","139.16K","0.49%"
"Nov 17, 2015","362.00","360.00","362.50","358.25","195.76K","0.56%"
"Nov 18, 2015","361.75","362.00","364.25","358.50","245.40K","-0.07%"
"Nov 19, 2015","364.25","361.75","365.50","360.25","175.84K","0.69%"
"Nov 20, 2015","363.25","363.50","366.50","362.00","188.67K","-0.27%"
"Nov 23, 2015","367.25","362.50","367.50","360.00","177.57K","1.10%"
"Nov 24, 2015","364.25","367.00","367.25","364.00","163.37K","-0.82%"
"Nov 25, 2015","366.00","364.25","366.50","364.00","147.25K","0.48%"
"Nov 27, 2015","359.25","365.25","365.75","358.75","73.10K","-1.84%"
"Nov 30, 2015","365.00","359.75","366.00","359.25","33.64K","1.60%"
"Dec 01, 2015","367.00","365.25","368.75","364.50","10.60K","0.55%"
"Dec 02, 2015","364.00","367.00","367.00","363.50","4.78K","-0.82%"
"Dec 03, 2015","370.25","363.75","371.25","361.25","11.68K","1.72%"
"Dec 04, 2015","376.25","370.00","376.50","369.75","4.95K","1.62%"
"Dec 07, 2015","368.50","375.75","376.00","368.00","3.40K","-2.06%"
"Dec 08, 2015","370.00","369.00","371.00","367.25","3.12K","0.41%"
"Dec 09, 2015","371.75","370.75","376.75","368.50","3.55K","0.47%"
"Dec 10, 2015","377.25","372.50","379.25","371.75","2.95K","1.48%"
"Dec 11, 2015","373.00","377.00","378.75","372.75","2.06K","-1.13%"
"Dec 14, 2015","381.75","373.50","381.75","373.50","1.01K","2.35%"
"Dec 15, 2015","377.25","378.25","379.50","375.75","103.75K","-1.18%"
"Dec 16, 2015","369.75","377.00","377.75","369.25","159.02K","-1.99%"
"Dec 17, 2015","374.25","370.25","375.00","362.50","269.29K","1.22%"
"Dec 18, 2015","374.50","374.25","379.50","372.75","180.30K","0.07%"
"Dec 21, 2015","372.00","374.00","377.00","369.75","129.72K","-0.67%"
"Dec 22, 2015","366.25","372.00","374.50","366.00","124.22K","-1.55%"
"Dec 23, 2015","365.50","366.50","367.75","364.50","95.52K","-0.20%"
"Dec 24, 2015","364.50","365.00","365.75","363.50","57.48K","-0.27%"
"Dec 27, 2015","364.63","364.63","364.63","364.63","-","0.03%"
"Dec 28, 2015","361.00","363.75","365.50","360.50","101.01K","-0.99%"
"Dec 29, 2015","362.50","361.00","363.00","357.00","123.50K","0.42%"
"Dec 30, 2015","359.00","362.50","364.00","358.00","102.10K","-0.97%"
"Dec 31, 2015","358.75","358.50","360.25","357.50","77.00K","-0.07%"
"Jan 04, 2016","351.50","359.50","360.00","350.50","188.75K","-2.02%"
"Jan 05, 2016","353.00","352.75","356.00","351.75","147.26K","0.43%"
"Jan 06, 2016","353.25","353.50","354.75","350.25","138.86K","0.07%"
"Jan 07, 2016","353.00","353.25","354.25","348.50","151.66K","-0.07%"
"Jan 08, 2016","357.00","353.00","357.75","352.75","178.65K","1.13%"
"Jan 11, 2016","351.75","357.00","357.25","349.50","174.49K","-1.47%"
"Jan 12, 2016","356.75","352.00","363.75","349.50","298.18K","1.42%"
"Jan 13, 2016","358.00","356.00","360.75","355.50","216.87K","0.35%"
"Jan 14, 2016","358.00","357.75","360.25","355.50","163.85K","0.00%"
"Jan 15, 2016","363.25","358.00","363.50","356.00","179.66K","1.47%"
"Jan 17, 2016","363.13","363.13","363.13","363.13","-","-0.03%"
"Jan 18, 2016","363.25","363.25","363.25","363.25","-","0.03%"
"Jan 19, 2016","367.75","364.00","369.50","364.00","227.11K","1.24%"
"Jan 20, 2016","368.75","367.50","369.25","365.25","193.97K","0.27%"
"Jan 21, 2016","367.00","368.75","372.00","365.50","245.07K","-0.47%"
"Jan 22, 2016","370.25","366.75","371.50","366.50","163.78K","0.89%"
"Jan 25, 2016","369.75","370.00","373.00","368.00","153.21K","-0.14%"
"Jan 26, 2016","369.25","369.25","372.00","367.00","167.69K","-0.14%"
"Jan 27, 2016","369.25","368.75","371.00","367.50","176.39K","0.00%"
"Jan 28, 2016","365.50","368.75","370.25","365.00","180.82K","-1.02%"
"Jan 29, 2016","372.00","365.25","372.50","365.00","220.97K","1.78%"
"Feb 01, 2016","371.25","371.00","371.75","367.75","144.22K","-0.20%"
"Feb 02, 2016","372.50","371.25","373.75","369.00","203.48K","0.34%"
"Feb 03, 2016","371.00","372.00","373.25","370.25","156.55K","-0.40%"
"Feb 04, 2016","368.50","371.00","373.50","368.00","181.87K","-0.67%"
"Feb 05, 2016","365.75","369.00","369.50","365.50","232.06K","-0.75%"
"Feb 08, 2016","362.25","366.00","367.00","361.50","222.97K","-0.96%"
"Feb 09, 2016","361.00","362.25","362.75","359.25","262.40K","-0.35%"
"Feb 10, 2016","360.25","361.00","361.75","359.25","148.37K","-0.21%"
"Feb 11, 2016","360.25","360.00","363.25","358.50","219.26K","0.00%"
"Feb 12, 2016","358.75","361.00","362.00","358.25","183.83K","-0.42%"
"Feb 16, 2016","363.00","359.75","363.50","359.00","213.50K","1.18%"
"Feb 17, 2016","367.25","362.75","367.50","362.00","174.34K","1.17%"
"Feb 18, 2016","365.50","367.00","368.00","365.25","231.65K","-0.48%"
"Feb 19, 2016","365.50","365.25","367.50","364.75","197.44K","0.00%"
"Feb 22, 2016","367.50","366.50","369.25","366.25","218.97K","0.55%"
"Feb 23, 2016","362.00","367.00","367.25","361.50","127.84K","-1.50%"
"Feb 24, 2016","359.75","362.00","362.75","358.75","170.41K","-0.62%"
"Feb 25, 2016","355.50","359.75","361.50","355.00","147.06K","-1.18%"
"Feb 26, 2016","354.50","355.50","356.25","352.50","120.56K","-0.28%"
"Feb 29, 2016","353.50","355.00","357.00","353.00","23.04K","-0.28%"
"Mar 01, 2016","353.75","353.50","355.00","353.00","11.13K","0.07%"
"Mar 02, 2016","354.50","353.75","355.50","352.50","2.36K","0.21%"
"Mar 03, 2016","353.75","354.00","355.50","351.75","4.11K","-0.21%"
"Mar 04, 2016","354.50","354.00","357.75","353.50","2.34K","0.21%"
"Mar 07, 2016","355.00","357.50","358.50","354.50","1.17K","0.14%"
"Mar 08, 2016","358.75","355.00","361.00","354.25","1.19K","1.06%"
"Mar 09, 2016","359.00","358.75","360.00","356.00","1.75K","0.07%"
"Mar 10, 2016","362.50","358.50","363.00","357.75","0.80K","0.97%"
"Mar 11, 2016","366.00","362.50","366.25","362.25","1.78K","0.97%"
"Mar 14, 2016","366.75","366.00","367.75","364.25","0.39K","0.20%"
"Mar 15, 2016","368.50","367.75","369.25","366.25","111.21K","0.48%"
"Mar 16, 2016","368.25","367.75","368.50","366.00","104.23K","-0.07%"
"Mar 17, 2016","368.50","368.25","372.00","366.50","197.30K","0.07%"
"Mar 18, 2016","367.00","368.00","369.25","366.00","96.10K","-0.41%"
"Mar 21, 2016","369.50","366.50","370.00","365.75","109.50K","0.68%"
"Mar 22, 2016","370.00","369.00","371.75","368.75","148.11K","0.14%"
"Mar 23, 2016","368.50","369.75","370.00","366.00","126.70K","-0.41%"
"Mar 24, 2016","370.00","368.75","370.25","367.25","146.17K","0.41%"
"Mar 28, 2016","370.50","369.50","372.00","367.75","127.56K","0.14%"
"Mar 29, 2016","373.00","370.50","373.00","368.50","174.31K","0.67%"
"Mar 30, 2016","367.00","372.50","374.00","366.75","214.61K","-1.61%"
"Mar 31, 2016","351.50","366.75","367.25","347.50","522.43K","-4.22%"
"Apr 01, 2016","354.00","351.75","354.50","347.25","268.65K","0.71%"
